time,S,    I    ,    R    ,i rate per Timestep
0,4000,0,0,0
0.02,3995,5,0,0
0.04,3995,5,0,0
0.06,3995,5,0,0
0.08,3995,5,0,0
0.1,3995,5,0,0
0.12,3995,5,0,0
0.14,3995,5,0,0
0.16,3995,5,0,0
0.18,3995,5,0,0
0.2,3995,5,0,0
0.22,3995,5,0,0
0.24,3995,5,0,0
0.26,3995,5,0,0
0.28,3995,5,0,0
0.3,3995,5,0,0
0.32,3995,5,0,0
0.34,3995,5,0,0
0.36,3995,5,0,0
0.38,3995,5,0,0
0.4,3995,5,0,0
0.42,3995,5,0,0
0.44,3995,5,0,0
0.46,3995,5,0,0
0.48,3995,5,0,0
0.5,3995,5,0,0
0.52,3995,5,0,0
0.54,3995,5,0,0
0.56,3995,5,0,0
0.58,3995,5,0,0
0.6,3995,5,0,0
0.62,3995,5,0,0
0.64,3995,5,0,0
0.66,3995,5,0,1
0.68,3994,6,0,0
0.7,3994,6,0,0
0.72,3994,6,0,0
0.74,3994,6,0,0
0.76,3994,6,0,0
0.78,3994,6,0,0
0.8,3994,6,0,0
0.82,3994,6,0,0
0.84,3994,6,0,0
0.86,3994,6,0,0
0.88,3994,6,0,0
0.9,3994,6,0,0
0.92,3994,6,0,0
0.94,3994,6,0,0
0.96,3994,6,0,0
0.98,3994,6,0,0
1,3994,6,0,0
1.02,3994,6,0,0
1.04,3994,6,0,0
1.06,3994,6,0,0
1.08,3994,6,0,0
1.1,3994,6,0,0
1.12,3994,6,0,0
1.14,3994,6,0,0
1.16,3994,6,0,0
1.18,3994,6,0,0
1.2,3994,6,0,0
1.22,3994,6,0,0
1.24,3994,6,0,0
1.26,3994,6,0,0
1.28,3994,6,0,0
1.3,3994,6,0,1
1.32,3993,7,0,0
1.34,3993,7,0,0
1.36,3993,7,0,0
1.38,3993,7,0,0
1.4,3993,7,0,0
1.42,3993,7,0,0
1.44,3993,7,0,0
1.46,3993,7,0,0
1.48,3993,7,0,0
1.5,3993,7,0,0
1.52,3993,7,0,1
1.54,3992,8,0,0
1.56,3992,8,0,0
1.58,3992,8,0,0
1.6,3992,8,0,0
1.62,3992,8,0,0
1.64,3992,8,0,0
1.66,3992,8,0,0
1.68,3992,8,0,0
1.7,3992,8,0,0
1.72,3992,8,0,0
1.74,3992,8,0,0
1.76,3992,8,0,0
1.78,3992,8,0,0
1.8,3992,8,0,0
1.82,3992,8,0,0
1.84,3992,8,0,0
1.86,3992,8,0,0
1.88,3992,8,0,0
1.9,3992,8,0,0
1.92,3992,8,0,0
1.94,3992,8,0,0
1.96,3992,8,0,1
1.98,3991,9,0,0
2,3991,9,0,1
2.02,3990,10,0,0
2.04,3990,10,0,0
2.06,3990,10,0,0
2.08,3990,10,0,0
2.1,3990,10,0,0
2.12,3990,10,0,0
2.14,3990,10,0,0
2.16,3990,10,0,0
2.18,3990,10,0,0
2.2,3990,10,0,0
2.22,3990,10,0,0
2.24,3990,10,0,1
2.26,3989,11,0,0
2.28,3989,11,0,0
2.3,3989,11,0,0
2.32,3989,11,0,0
2.34,3989,11,0,0
2.36,3989,11,0,0
2.38,3989,11,0,0
2.4,3989,11,0,0
2.42,3989,11,0,0
2.44,3989,11,0,0
2.46,3989,11,0,0
2.48,3989,11,0,0
2.5,3989,11,0,0
2.52,3989,11,0,0
2.54,3989,11,0,1
2.56,3988,12,0,0
2.58,3988,12,0,1
2.6,3987,13,0,0
2.62,3987,13,0,0
2.64,3987,13,0,0
2.66,3987,13,0,0
2.68,3987,13,0,1
2.7,3986,14,0,1
2.72,3985,15,0,0
2.74,3985,15,0,0
2.76,3985,15,0,0
2.78,3985,15,0,0
2.8,3985,15,0,0
2.82,3985,15,0,0
2.84,3985,15,0,0
2.86,3985,15,0,0
2.88,3985,15,0,0
2.9,3985,15,0,0
2.92,3985,15,0,0
2.94,3985,15,0,0
2.96,3985,15,0,0
2.98,3985,15,0,0
3,3985,15,0,0
3.02,3985,15,0,0
3.04,3985,15,0,1
3.06,3984,16,0,0
3.08,3984,16,0,0
3.1,3984,16,0,0
3.12,3984,16,0,0
3.14,3984,16,0,0
3.16,3984,16,0,0
3.18,3984,16,0,0
3.2,3984,16,0,0
3.22,3984,16,0,0
3.24,3984,16,0,0
3.26,3984,16,0,0
3.28,3984,16,0,0
3.3,3984,16,0,1
3.32,3983,17,0,0
3.34,3983,17,0,0
3.36,3983,17,0,0
3.38,3983,17,0,0
3.4,3983,17,0,0
3.42,3983,17,0,0
3.44,3983,17,0,0
3.46,3983,17,0,1
3.48,3982,18,0,0
3.5,3982,18,0,0
3.52,3982,18,0,0
3.54,3982,18,0,1
3.56,3981,19,0,0
3.58,3981,19,0,0
3.6,3981,19,0,0
3.62,3981,19,0,1
3.64,3980,20,0,0
3.66,3980,20,0,0
3.68,3980,20,0,0
3.7,3980,20,0,0
3.72,3980,20,0,0
3.74,3980,20,0,1
3.76,3979,21,0,0
3.78,3979,21,0,0
3.8,3979,21,0,0
3.82,3979,21,0,0
3.84,3979,21,0,0
3.86,3979,21,0,0
3.88,3979,21,0,0
3.9,3979,21,0,0
3.92,3979,21,0,0
3.94,3979,21,0,0
3.96,3979,21,0,0
3.98,3979,21,0,1
4,3978,22,0,0
4.02,3978,22,0,0
